airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-03,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No info,13377
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No info,13727
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No info,8137
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No info,14151
Indigo,2019-05-21,Kolkata,Banglore,06:35:00,12:10:00,335,2.0,No info,6103
Multiple Carriers,2019-06-06,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No info,11622
Air India,2019-04-18,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,6094
Indigo,2019-05-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5054
Indigo,2019-05-06,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No info,4804
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Indigo,2019-05-18,Chennai,Kolkata,15:40:00,18:25:00,165,0.0,No info,3850
Spicejet,2019-05-09,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Indigo,2019-03-06,Delhi,Cochin,07:30:00,13:20:00,350,1.0,No info,13628
Spicejet,2019-04-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3971
Indigo,2019-06-24,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,18:50:00,770,1.0,No info,14629
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No info,13292
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No info,12242
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,05:05:00,1210,1.0,No info,16736
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No info,9316
Indigo,2019-05-15,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,5298
Indigo,2019-06-03,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No info,6842
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,09:30:00,1530,1.0,In-flight meal not included,11087
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,04:25:00,365,1.0,In-flight meal not included,12583
Air India,2019-06-24,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,9194
Spicejet,2019-06-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Vistara,2019-06-12,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Jet Airways,2019-03-06,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,In-flight meal not included,17271
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No info,7575
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No info,14178
Indigo,2019-05-09,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,6058
Multiple Carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No info,12327
Jet Airways,2019-03-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No info,15764
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,21:00:00,640,1.0,In-flight meal not included,6007
Indigo,2019-06-09,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No info,5276
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No info,10678
Air Asia,2019-04-03,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,4107
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,18:50:00,1250,1.0,No info,12242
Indigo,2019-05-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No info,2754
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,7652
Indigo,2019-05-01,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,3859
Indigo,2019-03-12,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No info,4148
Air India,2019-05-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,3625
Goair,2019-04-24,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,5430
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,8610
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No info,11410
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,No info,26890
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,No info,13882
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,9424
Multiple Carriers,2019-05-09,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No info,13727
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,13727
Spicejet,2019-03-01,Banglore,New Delhi,15:35:00,23:40:00,485,1.0,1 Long layover,7744
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,In-flight meal not included,9663
Jet Airways,2019-03-12,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No info,12295
Indigo,2019-06-06,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,6195
Air India,2019-03-09,Banglore,New Delhi,11:50:00,23:55:00,725,1.0,No info,10972
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Air India,2019-06-06,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No info,8372
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,4439
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No info,12681
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No info,16736
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Multiple Carriers,2019-05-15,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No info,10197
Indigo,2019-06-01,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,4823
Spicejet,2019-05-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No info,2017
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No info,14388
Indigo,2019-03-06,Delhi,Cochin,06:40:00,12:00:00,320,1.0,No info,5647
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No info,13555
Indigo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,14871
Air Asia,2019-06-15,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,4282
Multiple Carriers,2019-04-24,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
